row,id,time,value
100,sbb_nettotonnenkm,2001-04-10,46059505.925
101,sbb_nettotonnenkm,2001-04-11,41501506.39
102,sbb_nettotonnenkm,2001-04-12,30920151.655
103,sbb_nettotonnenkm,2001-04-13,22956838.177
104,sbb_nettotonnenkm,2001-04-14,19989067.854
105,sbb_nettotonnenkm,2001-04-15,6760689.247
106,sbb_nettotonnenkm,2001-04-16,270870.57
107,sbb_nettotonnenkm,2001-04-17,30306976.984
108,sbb_nettotonnenkm,2001-04-18,46811720.249
109,sbb_nettotonnenkm,2001-04-19,48583756.331
110,sbb_nettotonnenkm,2001-04-20,43431786.638
111,sbb_nettotonnenkm,2001-04-21,22543098.148
112,sbb_nettotonnenkm,2001-04-22,7311390.18
113,sbb_nettotonnenkm,2001-04-23,27424707.644
114,sbb_nettotonnenkm,2001-04-24,43438967.687
115,sbb_nettotonnenkm,2001-04-25,39997789.087
116,sbb_nettotonnenkm,2001-04-26,44180813.362
117,sbb_nettotonnenkm,2001-04-27,40980422.858
118,sbb_nettotonnenkm,2001-04-28,24349738.023
119,sbb_nettotonnenkm,2001-04-29,7064005.094
120,sbb_nettotonnenkm,2001-04-30,24387427.245
121,sbb_nettotonnenkm,2001-05-01,27020537.684
122,sbb_nettotonnenkm,2001-05-02,33231188.756
123,sbb_nettotonnenkm,2001-05-03,43015901.08
124,sbb_nettotonnenkm,2001-05-04,42644503.777
125,sbb_nettotonnenkm,2001-05-05,24805936.344
126,sbb_nettotonnenkm,2001-05-06,8557547.661
127,sbb_nettotonnenkm,2001-05-07,27768776.744
128,sbb_nettotonnenkm,2001-05-08,43125823.778
129,sbb_nettotonnenkm,2001-05-09,45703030.925
130,sbb_nettotonnenkm,2001-05-10,44678720.583
131,sbb_nettotonnenkm,2001-05-11,42405324.736
132,sbb_nettotonnenkm,2001-05-12,23565291.257
133,sbb_nettotonnenkm,2001-05-13,8527266.978
134,sbb_nettotonnenkm,2001-05-14,28293934.439
135,sbb_nettotonnenkm,2001-05-15,44502360.324
136,sbb_nettotonnenkm,2001-05-16,46281428.935
137,sbb_nettotonnenkm,2001-05-17,45653986.795
138,sbb_nettotonnenkm,2001-05-18,41381266.495
139,sbb_nettotonnenkm,2001-05-19,23949578.495
140,sbb_nettotonnenkm,2001-05-20,7025116.968
141,sbb_nettotonnenkm,2001-05-21,29311531.578
142,sbb_nettotonnenkm,2001-05-22,45082744.414
143,sbb_nettotonnenkm,2001-05-23,44678554.468
144,sbb_nettotonnenkm,2001-05-24,24110844.952
145,sbb_nettotonnenkm,2001-05-25,28695230.55
146,sbb_nettotonnenkm,2001-05-26,23011101.296
147,sbb_nettotonnenkm,2001-05-27,7326382.546
148,sbb_nettotonnenkm,2001-05-28,28736051.389
149,sbb_nettotonnenkm,2001-05-29,43054470.017
150,sbb_nettotonnenkm,2001-05-30,45714201.613
151,sbb_nettotonnenkm,2001-05-31,45627697.973
152,sbb_nettotonnenkm,2001-06-01,41628901.735
153,sbb_nettotonnenkm,2001-06-02,22823264.538
154,sbb_nettotonnenkm,2001-06-03,6889711.089
155,sbb_nettotonnenkm,2001-06-04,4390333.742
156,sbb_nettotonnenkm,2001-06-05,34382447.658
157,sbb_nettotonnenkm,2001-06-06,47655071.676
158,sbb_nettotonnenkm,2001-06-07,46154937.609
159,sbb_nettotonnenkm,2001-06-08,44253120.496
160,sbb_nettotonnenkm,2001-06-09,25418176.773
161,sbb_nettotonnenkm,2001-06-10,8207646.215
