time,value
2005-05-12,150983.79145360002
2005-05-13,140999.527393
2005-05-17,178784.42754479998
2005-05-18,167335.25757279998
2005-05-19,153496.088851
2005-05-20,157821.98856179998
2005-05-23,146244.4375811
2005-05-24,143893.4705014
2005-05-25,186024.5175229
2005-05-26,152003.8976127
2005-05-27,137935.6581162
2005-05-30,81375.7717934
2005-05-31,188925.2803021
2005-06-01,139220.3329196
2005-06-02,141498.60556720002
2005-06-03,144629.95279429998
2005-06-06,144384.671757
2005-06-07,140550.2670066
2005-06-08,122479.21478180001
2005-06-09,141497.8446604
2005-06-10,142977.4976731
2005-06-13,147827.98584970002
2005-06-14,135223.8291656
2005-06-15,173915.8394481
2005-06-16,157915.9600498
2005-06-17,142449.9616714
2005-06-20,157744.0660504
2005-06-21,138936.2431102
2005-06-22,180934.0946858
2005-06-23,175670.0232706
2005-06-24,152247.4740394
2005-06-27,167192.0460324
2005-06-28,140523.19445039998
2005-06-29,145211.5195512
2005-06-30,205839.3632857
2005-07-01,140232.4059005
2005-07-04,91913.720317
2005-07-05,181129.54568279997
2005-07-06,147832.05551839998
2005-07-07,161326.54879429998
2005-07-08,140537.2425815
2005-07-11,172157.5865029
2005-07-12,144423.9138765
2005-07-13,138666.76029120001
2005-07-14,154000.2573895
2005-07-15,152351.6050943
2005-07-18,150028.3514372
2005-07-19,134118.2964958
2005-07-20,140665.9692086
2005-07-21,140779.5490025
2005-07-22,139474.4313563
2005-07-25,160796.95577610002
2005-07-26,126986.3691712
2005-07-27,127958.22467210001
2005-07-28,137367.6633403
2005-07-29,177981.0574095
2005-08-02,156991.2496181
2005-08-03,143801.40787929998
2005-08-04,146394.2302697
2005-08-05,141569.9832832
2005-08-08,139979.6468746
2005-08-09,122565.44475580001
2005-08-10,116895.8965613
2005-08-11,120535.0032933
2005-08-12,140502.28533120002
2005-08-15,146474.341499
2005-08-16,126874.3311791
2005-08-17,117156.22486110001
2005-08-18,140413.5753162
2005-08-19,133164.7266577
2005-08-22,146819.02343670002
2005-08-23,124754.72813630001
2005-08-24,123126.50556789999
2005-08-25,145274.2094736
2005-08-26,139162.4120612
2005-08-29,135051.8340527
2005-08-30,135644.4345956
2005-08-31,149746.3295909
2005-09-01,140027.8777369
2005-09-02,140337.6063897
2005-09-05,79926.63818719999
2005-09-06,154771.54463679998
2005-09-07,118023.9519375
2005-09-08,123467.3379231
2005-09-09,130906.3838715
2005-09-12,143956.8949212
2005-09-13,115286.10215260001
2005-09-14,116791.8815082
2005-09-15,157611.7834783
2005-09-16,130880.497427
2005-09-19,145239.137168
