keyword,time,value
Zara,2006-01-01,57.11113087666325
Zara,2006-01-02,-13.045487469203625
Zara,2006-01-03,-12.844708196950098
Zara,2006-01-04,22.103766374116287
Zara,2006-01-05,24.430229159137596
Zara,2006-01-06,27.819533700523913
Zara,2006-01-07,-11.03741741763925
Zara,2006-01-08,-10.334551299016276
Zara,2006-01-09,-10.11773159454954
Zara,2006-01-10,-10.386958307144106
Zara,2006-01-11,22.5426221084997
Zara,2006-01-12,22.26372695418067
Zara,2006-01-13,-14.110916933578233
Zara,2006-01-14,38.53386075025355
Zara,2006-01-15,31.02228002781012
Zara,2006-01-16,-20.609055969269047
Zara,2006-01-17,8.273810873546758
Zara,2006-01-18,-7.4442897501337075
Zara,2006-01-19,-1.356075137678019
Zara,2006-01-20,-15.808218318699556
Zara,2006-01-21,-11.82253162116854
Zara,2006-01-22,-6.7226540056364295
Zara,2006-01-23,12.604508883625629
Zara,2006-01-24,36.05350098847741
Zara,2006-01-25,1.5479493478778856
Zara,2006-01-26,18.80423407259536
Zara,2006-01-27,57.987199172779306
Zara,2006-01-28,-0.7249915308454415
Zara,2006-01-29,-3.825648321282717
Zara,2006-01-30,6.671735722126806
Zara,2006-01-31,6.546146858284356
Zara,2006-02-01,-9.49574904075186
Zara,2006-02-02,-3.7571313086005063
Zara,2006-02-03,6.117552963092372
Zara,2006-02-04,5.050321709615588
Zara,2006-02-05,32.17976666655345
Zara,2006-02-06,-2.508535310050677
Zara,2006-02-07,28.02543485498282
Zara,2006-02-08,6.045093826423985
Zara,2006-02-09,-9.420862665737275
Zara,2006-02-10,45.78919117744815
Zara,2006-02-11,19.933010346775056
Zara,2006-02-12,7.007376632425224
Zara,2006-02-13,6.51981482103073
Zara,2006-02-14,-9.760790441015093
Zara,2006-02-15,-2.776049447655998
Zara,2006-02-16,18.57161221980301
Zara,2006-02-17,-15.734179585779433
Zara,2006-02-18,4.985379631468835
Zara,2006-02-19,6.864218174586277
Zara,2006-02-20,16.468632708034917
Zara,2006-02-21,8.775589174396993
Zara,2006-02-22,21.800850857958487
Zara,2006-02-23,23.062594697410272
Zara,2006-02-24,29.884459658059775
Zara,2006-02-25,-2.726894349009669
Zara,2006-02-26,39.27582253022911
Zara,2006-02-27,20.334569489799144
Zara,2006-02-28,-6.136099993770684
Zara,2006-03-01,13.518973650734043
Zara,2006-03-02,13.791889987466428
Zara,2006-03-03,31.399139378274022
Zara,2006-03-04,19.133805643433575
Zara,2006-03-05,-8.567745412170346
Zara,2006-03-06,-8.344733481703262
Zara,2006-03-07,8.061263915066066
Zara,2006-03-08,1.9607864191794775
Zara,2006-03-09,5.498808559617716
Zara,2006-03-10,25.79727079708671
Zara,2006-03-11,44.5701097815105
Zara,2006-03-12,41.99138313913371
Zara,2006-03-13,22.38583667753789
Zara,2006-03-14,10.391534699147297
Zara,2006-03-15,32.76387516358884
Zara,2006-03-16,20.400787089925103
Zara,2006-03-17,18.11916609310164
Zara,2006-03-18,-0.3230927776018717
Zara,2006-03-19,35.683879668399236
Zara,2006-03-20,-6.523624771969148
Zara,2006-03-21,-3.915688631313351
Zara,2006-03-22,-6.698784099614816
Zara,2006-03-23,-6.050687625848198
Zara,2006-03-24,-1.00897482660511
Zara,2006-03-25,-2.481122084637203
Zara,2006-03-26,10.86661117634996
Zara,2006-03-27,5.2254931987079445
Zara,2006-03-28,22.14017668838251
Zara,2006-03-29,20.38681706954841
Zara,2006-03-30,3.975515954345905
Zara,2006-03-31,6.91193501604895
Zara,2006-04-01,-2.036888588257032
Zara,2006-04-02,-11.211784371672444
Zara,2006-04-03,3.3484799125633486
Zara,2006-04-04,0.39714482790754957
Zara,2006-04-05,4.682266036434836
Zara,2006-04-06,10.291808017999664
Zara,2006-04-07,6.3641241216996
Zara,2006-04-08,45.5575772312464
Zara,2006-04-09,0.14470227900307364
Zara,2006-04-10,7.110195956087924
Zara,2006-04-11,15.445565752362711
Zara,2006-04-12,14.289165014364926
Zara,2006-04-13,0.6162313849456602
Zara,2006-04-14,51.970672612913305
Zara,2006-04-15,29.35090938120171
Zara,2006-04-16,6.726130288705498
Zara,2006-04-17,31.56866576137505
Zara,2006-04-18,18.274303806719686
Zara,2006-04-19,35.05487285443649
Zara,2006-04-20,-1.700245716271354
Zara,2006-04-21,32.041390966303794
Zara,2006-04-22,31.856736915566916
Zara,2006-04-23,24.573371916621092
Zara,2006-04-24,-3.1014114947582634
Zara,2006-04-25,9.344820012128526
Zara,2006-04-26,28.70842508317939
Zara,2006-04-27,4.702729502930744
Zara,2006-04-28,2.6522885348862815
Zara,2006-04-29,-5.714114187212218
Zara,2006-04-30,-3.0728396978660477
Zara,2006-05-01,9.981404065463755
Zara,2006-05-02,-3.1122438177461778
Zara,2006-05-03,1.5969303232982828
Zara,2006-05-04,3.256398103084136
Zara,2006-05-05,15.340100939821209
Zara,2006-05-06,8.440627011495561
Zara,2006-05-07,41.58667204900526
Zara,2006-05-08,11.994191683384484
Zara,2006-05-09,16.761112958256206
Zara,2006-05-10,-1.8580273495288786
Zara,2006-05-11,7.573007447537709
Zara,2006-05-12,12.010980060125824
Zara,2006-05-13,35.73037224720224
Zara,2006-05-14,6.228546860302824
Zara,2006-05-15,1.8873122407806164
Zara,2006-05-16,-7.983975949567579
Zara,2006-05-17,-9.48363211984287
Zara,2006-05-18,-1.8524103666031557
Zara,2006-05-19,14.717204433322571
Zara,2006-05-20,5.7704192255890465
Zara,2006-05-21,-4.439671439080849
Zara,2006-05-22,-8.743692541249688
Zara,2006-05-23,-19.075706481137903
