series,period,id,time,value
transact,2014-11-30,x,2014-11-12,113611.1399734
transact,2014-11-30,x,2014-11-13,109009.9983971
transact,2014-11-30,x,2014-11-14,118041.6521245
transact,2014-11-30,x,2014-11-15,NA
transact,2014-11-30,x,2014-11-16,NA
transact,2014-11-30,x,2014-11-17,115398.2274491
transact,2014-11-30,x,2014-11-18,94677.5020833
transact,2014-11-30,x,2014-11-19,112140.6846349
transact,2014-11-30,x,2014-11-20,102443.2991922
transact,2014-11-30,x,2014-11-21,100371.5199439
transact,2014-11-30,x,2014-11-22,NA
transact,2014-11-30,x,2014-11-23,NA
transact,2014-11-30,x,2014-11-24,106618.4400461
transact,2014-11-30,x,2014-11-25,113013.8814089
transact,2014-11-30,x,2014-11-26,118772.74423410001
transact,2014-11-30,x,2014-11-27,80862.5748265
transact,2014-11-30,x,2014-11-28,176226.7648185
transact,2014-10-31,fct,2014-10-01,130659.28734076893
transact,2014-10-31,fct,2014-10-02,129835.07882358608
transact,2014-10-31,fct,2014-10-03,128685.52853185283
transact,2014-10-31,fct,2014-10-04,NA
transact,2014-10-31,fct,2014-10-05,NA
transact,2014-10-31,fct,2014-10-06,113465.44143087465
transact,2014-10-31,fct,2014-10-07,99904.9172916415
transact,2014-10-31,fct,2014-10-08,96256.07619019602
transact,2014-10-31,fct,2014-10-09,98613.31508365955
transact,2014-10-31,fct,2014-10-10,101750.01127377394
transact,2014-10-31,fct,2014-10-11,NA
transact,2014-10-31,fct,2014-10-12,NA
transact,2014-10-31,fct,2014-10-13,107507.96931453735
transact,2014-10-31,fct,2014-10-14,100934.76858925456
transact,2014-10-31,fct,2014-10-15,102786.63949000686
transact,2014-10-31,fct,2014-10-16,108598.13256368278
transact,2014-10-31,fct,2014-10-17,112957.5295623197
transact,2014-10-31,fct,2014-10-18,NA
transact,2014-10-31,fct,2014-10-19,NA
transact,2014-10-31,fct,2014-10-20,112015.16131887764
transact,2014-10-31,fct,2014-10-21,101986.72709877507
transact,2014-10-31,fct,2014-10-22,101051.6607842576
transact,2014-10-31,fct,2014-10-23,105328.05377879337
transact,2014-10-31,fct,2014-10-24,109742.8865357258
transact,2014-10-31,fct,2014-10-25,NA
transact,2014-10-31,fct,2014-10-26,NA
transact,2014-10-31,fct,2014-10-27,116938.70424534328
transact,2014-10-31,fct,2014-10-28,110511.59899290199
transact,2014-10-31,fct,2014-10-29,112429.3283976108
transact,2014-10-31,fct,2014-10-30,118169.09230690419
transact,2014-10-31,fct,2014-10-31,122256.42926876023
transact,2014-10-31,x,2014-10-01,123179.40790019999
transact,2014-10-31,x,2014-10-02,117152.238454
transact,2014-10-31,x,2014-10-03,129416.1215741
transact,2014-10-31,x,2014-10-04,NA
transact,2014-10-31,x,2014-10-05,NA
transact,2014-10-31,x,2014-10-06,116935.0360464
transact,2014-10-31,x,2014-10-07,113195.11633589999
transact,2014-10-31,x,2014-10-08,117825.938172
transact,2014-10-31,x,2014-10-09,110045.30821510001
transact,2014-10-31,x,2014-10-10,125149.82944039999
transact,2014-10-31,x,2014-10-11,NA
transact,2014-10-31,x,2014-10-12,NA
transact,2014-10-31,x,2014-10-13,79373.48114060001
transact,2014-10-31,x,2014-10-14,113641.5340628
