series,period,id,time,value
transact,2014-05-31,fct,2014-05-06,123830.32348641816
transact,2014-05-31,fct,2014-05-07,140666.76505456882
transact,2014-05-31,fct,2014-05-08,127585.50874071728
transact,2014-05-31,fct,2014-05-09,133166.7644708695
transact,2014-05-31,fct,2014-05-10,NA
transact,2014-05-31,fct,2014-05-11,NA
transact,2014-05-31,fct,2014-05-12,135137.5222810917
transact,2014-05-31,fct,2014-05-13,122590.13277576893
transact,2014-05-31,fct,2014-05-14,139220.09711809887
transact,2014-05-31,fct,2014-05-15,125907.57857204172
transact,2014-05-31,fct,2014-05-16,131237.8711274908
transact,2014-05-31,fct,2014-05-17,NA
transact,2014-05-31,fct,2014-05-18,NA
transact,2014-05-31,fct,2014-05-19,132401.5563920317
transact,2014-05-31,fct,2014-05-20,119591.72473067489
transact,2014-05-31,fct,2014-05-21,135975.84954444075
transact,2014-05-31,fct,2014-05-22,122442.22660017906
transact,2014-05-31,fct,2014-05-23,127584.05908770744
transact,2014-05-31,fct,2014-05-24,NA
transact,2014-05-31,fct,2014-05-25,NA
transact,2014-05-31,fct,2014-05-26,128449.10836376289
transact,2014-05-31,fct,2014-05-27,115647.99181219669
transact,2014-05-31,fct,2014-05-28,132101.80098400917
transact,2014-05-31,fct,2014-05-29,NA
transact,2014-05-31,fct,2014-05-30,124038.96661794308
transact,2014-05-31,x,2014-05-01,NA
transact,2014-05-31,x,2014-05-02,132053.8801181
transact,2014-05-31,x,2014-05-03,NA
transact,2014-05-31,x,2014-05-04,NA
transact,2014-05-31,x,2014-05-05,125238.32075289999
transact,2014-05-31,x,2014-05-06,127756.0773128
transact,2014-05-31,x,2014-05-07,116592.46094
transact,2014-05-31,x,2014-05-08,101690.55074460001
transact,2014-05-31,x,2014-05-09,116682.77275539999
transact,2014-05-31,x,2014-05-10,NA
transact,2014-05-31,x,2014-05-11,NA
transact,2014-05-31,x,2014-05-12,124319.4856839
transact,2014-05-31,x,2014-05-13,102162.96007989999
transact,2014-05-31,x,2014-05-14,102164.0818629
transact,2014-05-31,x,2014-05-15,117191.104843
transact,2014-05-31,x,2014-05-16,110294.450906
transact,2014-05-31,x,2014-05-17,NA
transact,2014-05-31,x,2014-05-18,NA
transact,2014-05-31,x,2014-05-19,112566.8038032
transact,2014-05-31,x,2014-05-20,123345.3415717
transact,2014-05-31,x,2014-05-21,112518.138516
transact,2014-05-31,x,2014-05-22,114591.1757607
