series,period,id,time,value
transact,2014-11-30,x,2014-11-12,113611.1399734
transact,2014-11-30,x,2014-11-13,109009.9983971
transact,2014-11-30,x,2014-11-14,118041.6521245
transact,2014-11-30,x,2014-11-15,NA
transact,2014-11-30,x,2014-11-16,NA
transact,2014-11-30,x,2014-11-17,115398.2274491
transact,2014-11-30,x,2014-11-18,94677.5020833
transact,2014-11-30,x,2014-11-19,112140.6846349
transact,2014-11-30,x,2014-11-20,102443.2991922
transact,2014-11-30,x,2014-11-21,100371.5199439
transact,2014-11-30,x,2014-11-22,NA
transact,2014-11-30,x,2014-11-23,NA
transact,2014-11-30,x,2014-11-24,106618.4400461
transact,2014-11-30,x,2014-11-25,113013.8814089
transact,2014-11-30,x,2014-11-26,118772.74423410001
transact,2014-11-30,x,2014-11-27,80862.5748265
transact,2014-11-30,x,2014-11-28,176226.7648185
transact,2014-10-31,fct,2014-10-01,119551.08111942667
transact,2014-10-31,fct,2014-10-02,119890.88579081398
transact,2014-10-31,fct,2014-10-03,130164.75789862
transact,2014-10-31,fct,2014-10-04,NA
transact,2014-10-31,fct,2014-10-05,NA
transact,2014-10-31,fct,2014-10-06,115264.25268721995
transact,2014-10-31,fct,2014-10-07,115537.10528147678
transact,2014-10-31,fct,2014-10-08,105292.7529395016
transact,2014-10-31,fct,2014-10-09,103997.41620027908
transact,2014-10-31,fct,2014-10-10,113848.77153330318
transact,2014-10-31,fct,2014-10-11,NA
transact,2014-10-31,fct,2014-10-12,NA
transact,2014-10-31,fct,2014-10-13,104050.77173614955
transact,2014-10-31,fct,2014-10-14,101771.22396897258
transact,2014-10-31,fct,2014-10-15,106222.22907229996
transact,2014-10-31,fct,2014-10-16,100369.31884596405
transact,2014-10-31,fct,2014-10-17,105512.9224202784
transact,2014-10-31,fct,2014-10-18,NA
transact,2014-10-31,fct,2014-10-19,NA
transact,2014-10-31,fct,2014-10-20,108644.70601247663
transact,2014-10-31,fct,2014-10-21,97545.1116518995
transact,2014-10-31,fct,2014-10-22,101366.1945861112
transact,2014-10-31,fct,2014-10-23,97869.29001787576
transact,2014-10-31,fct,2014-10-24,109878.33637042168
transact,2014-10-31,fct,2014-10-25,NA
transact,2014-10-31,fct,2014-10-26,NA
transact,2014-10-31,fct,2014-10-27,112759.29443437679
transact,2014-10-31,fct,2014-10-28,105740.01084148124
transact,2014-10-31,fct,2014-10-29,112376.07824851765
transact,2014-10-31,fct,2014-10-30,142596.63383929816
transact,2014-10-31,fct,2014-10-31,142261.7311799111
transact,2014-10-31,x,2014-10-01,123179.40790019999
transact,2014-10-31,x,2014-10-02,117152.238454
transact,2014-10-31,x,2014-10-03,129416.1215741
transact,2014-10-31,x,2014-10-04,NA
transact,2014-10-31,x,2014-10-05,NA
transact,2014-10-31,x,2014-10-06,116935.0360464
transact,2014-10-31,x,2014-10-07,113195.11633589999
transact,2014-10-31,x,2014-10-08,117825.938172
transact,2014-10-31,x,2014-10-09,110045.30821510001
transact,2014-10-31,x,2014-10-10,125149.82944039999
transact,2014-10-31,x,2014-10-11,NA
transact,2014-10-31,x,2014-10-12,NA
transact,2014-10-31,x,2014-10-13,79373.48114060001
transact,2014-10-31,x,2014-10-14,113641.5340628
